run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
91	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	1.0	True
92	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	2.0	False
93	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	2.0	True
94	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	3.0	False
95	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	3.0	True
96	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	0.5	False
97	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	0.5	True
98	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	1.0	False
99	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	1.0	True
100	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	2.0	False
101	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	2.0	True
102	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	3.0	False
103	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	3.0	True
104	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	0.5	False
105	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	0.5	True
106	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	1.0	False
107	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	1.0	True
108	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	2.0	False
109	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	2.0	True
110	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	3.0	False
111	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	3.0	True
112	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	0.5	False
113	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	0.5	True
114	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	1.0	False
115	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	1.0	True
116	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	2.0	False
117	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	2.0	True
118	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	3.0	False
119	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	3.0	True
120	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	0.5	False
121	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	0.5	True
122	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	1.0	False
123	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	1.0	True
124	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	2.0	False
125	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	2.0	True
126	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	3.0	False
127	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	3.0	True
128	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	0.5	False
129	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	0.5	True
130	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	1.0	False
131	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	1.0	True
132	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	2.0	False
133	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	2.0	True
134	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	3.0	False
135	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	3.0	True
136	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	0.5	False
137	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	0.5	True
138	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	1.0	False
139	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	1.0	True
140	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	False
141	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	True
142	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	3.0	False
143	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	3.0	True
144	0.025	-0.025	5	5	0	0.0	0.8	0.5	False	1.0	0.5	False
