run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
129	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.5	0.7
130	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.5	0.8
131	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.5	1.0
132	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	1.5	0.5
133	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	1.5	0.7
134	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	1.5	0.8
135	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	1.5	1.0
136	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.0	0.5
137	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.0	0.7
138	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.0	0.8
139	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.0	1.0
140	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.5	0.5
141	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.5	0.7
142	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.5	0.8
143	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.5	1.0
144	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	1.5	0.5
145	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	1.5	0.7
146	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	1.5	0.8
147	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	1.5	1.0
148	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.0	0.5
149	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.0	0.7
150	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.0	0.8
151	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.0	1.0
152	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.5	0.5
153	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.5	0.7
154	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.5	0.8
155	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.8	2.5	1.0
156	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	0.5
