post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
82.9,84.28,67.6,110.1,59.0,51.8,11.0,69.0,8.555904080525849
85.5,84.05999999999999,64.9,112.9,107.0,132.6,54.0,293.0,8.556798573669234
86.7,85.02,55.9,115.7,76.0,72.6,25.0,104.0,8.543724822589708
65.7,78.18,61.1,120.9,70.0,62.4,33.0,83.0,8.54070902975544
88.7,90.47999999999999,78.6,110.7,100.0,96.0,64.0,134.0,8.558429764098445
84.0,85.62,76.4,99.7,79.0,93.0,66.0,159.0,8.562961660235823
91.7,89.38000000000001,75.1,108.8,68.0,73.4,51.0,98.0,8.56601104885475
87.7,81.64000000000001,54.9,96.8,79.0,72.2,47.0,93.0,8.575273595879306
86.3,85.66,54.4,121.0,54.0,79.6,47.0,170.0,8.58911974743275
80.9,76.66,56.8,91.6,89.0,90.8,56.0,124.0,8.56962176038683
81.8,81.72,60.2,108.7,59.0,55.2,40.0,61.0,8.584450746690601
68.8,69.16,64.1,75.3,83.0,76.0,25.0,126.0,8.571093270615329
68.0,73.05999999999999,63.0,85.4,79.0,87.0,52.0,124.0,8.56332925578803
68.4,67.35999999999999,57.8,81.8,62.0,70.6,24.0,111.0,8.567698061711432
71.0,74.10000000000001,66.5,87.3,77.0,87.6,61.0,120.0,8.570749243718597
69.5,70.36,60.4,80.7,51.0,50.4,19.0,70.0,8.561490010946658
82.0,79.58000000000001,67.4,91.7,66.0,54.6,23.0,75.0,8.544456378920458
72.8,72.4,61.0,84.6,47.0,53.2,18.0,112.0,8.526788069632932
69.4,69.35999999999999,62.8,73.0,50.0,68.2,46.0,108.0,8.536690235191816
86.4,90.92,69.4,119.8,68.0,75.0,45.0,110.0,8.529626320063453
82.9,79.28,60.2,99.6,63.0,75.0,17.0,147.0,8.542296506491782
79.4,79.62,55.6,107.2,73.0,87.6,42.0,172.0,8.542717734700526
72.5,70.74,62.9,78.0,60.0,54.2,32.0,77.0,8.559604373966936
67.4,69.32000000000001,60.9,78.3,71.0,86.4,35.0,155.0,8.58023608213522
71.8,71.70000000000002,58.8,85.8,67.0,66.4,50.0,81.0,8.58658040632733
97.8,97.82000000000001,70.8,130.4,102.0,110.4,63.0,184.0,8.581885405836553
104.2,110.28,82.3,145.4,52.0,49.8,31.0,81.0,8.574345409671151
73.9,73.43999999999998,55.0,94.6,126.0,146.0,81.0,270.0,8.586304587007488
85.7,89.94,73.2,117.2,93.0,91.4,34.0,153.0,8.584059652573668
72.2,81.41999999999999,60.9,113.6,58.0,60.4,30.0,119.0,8.573200100919221
88.5,91.58,83.5,105.6,58.0,70.8,17.0,159.0,8.55753731223472
75.5,85.74000000000001,69.4,112.8,92.0,95.0,11.0,173.0,8.580434045064292
89.4,97.94000000000001,70.1,127.8,76.0,90.4,54.0,187.0,8.596312171175907
105.0,102.34,90.2,113.7,74.0,101.4,48.0,227.0,8.574269135163027
96.7,92.82000000000001,68.0,107.3,84.0,88.8,11.0,134.0,8.592121130530138
82.4,85.92,71.1,107.5,46.0,41.0,14.0,57.0,8.59659144496881
88.4,88.97999999999999,68.4,102.9,79.0,82.2,45.0,119.0,8.60342687466534
83.1,83.1,63.7,99.1,72.0,69.6,41.0,87.0,8.616606824141916
77.3,80.66,68.5,101.1,76.0,102.6,53.0,183.0,8.637217192204544
91.1,92.1,78.8,103.7,158.0,132.2,41.0,191.0,8.635785207098301
95.0,98.84,57.7,148.8,81.0,76.4,44.0,89.0,8.622533648177475
102.8,95.99999999999999,71.4,126.2,106.0,121.4,51.0,202.0,8.621488714951395
103.7,110.32000000000001,97.2,134.1,88.0,90.6,69.0,106.0,8.617956060902912
115.0,111.6,71.2,141.7,111.0,100.4,38.0,157.0,8.644836375950636
106.3,103.28000000000002,74.1,142.9,82.0,89.0,56.0,156.0,8.659725895663248
113.9,116.7,91.3,169.4,104.0,93.8,54.0,130.0,8.658433544424161
